"Language","Dialect","Source","Segment","Type","Notes","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"Hmar","Haflong","Lahkar","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","r","consonant","","alveolar","trill","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","c","consonant","","palatal","plosive","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","ɟ","consonant","","palatal","plosive","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Hmar","Haflong","Lahkar","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Hmar","Haflong","Lahkar","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Hmar","Haflong","Lahkar","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Hmar","Haflong","Lahkar","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Hmar","Haflong","Lahkar","ə","vowel","","","","","","monophthong","mid","central","unrounded","short","oral"
"Hmar","Haflong","Lahkar","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Hmar","Haflong","Lahkar","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Hmar","Haflong","Lahkar","ei","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","ai","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","au","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","ou","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","oi","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","iu","vowel","","","","","","diphthong","","","","short",""
"Hmar","Haflong","Lahkar","ui","vowel","","","","","","diphthong","","","","short",""
"Hyow","Laitu","Zakaria","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Hyow","Laitu","Zakaria","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Hyow","Laitu","Zakaria","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","ʃ","consonant","","postalveolar","fricative","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","n̥","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","ɹ","consonant","","alveolar","approximant","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","j̊","consonant","","palatal","approximant","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Hyow","Laitu","Zakaria","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Hyow","Laitu","Zakaria","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Hyow","Laitu","Zakaria","ʉ","vowel","","","","","","monophthong","high","central","rounded","short","oral"
"Hyow","Laitu","Zakaria","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Hyow","Laitu","Zakaria","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Hyow","Laitu","Zakaria","ɘ","vowel","","","","","","monophthong","high-mid","central","unrounded","short","oral"
"Hyow","Laitu","Zakaria","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Hyow","Laitu","Zakaria","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Hyow","Laitu","Zakaria","æ","vowel","","","","","","monophthong","near-low","front","unrounded","short","oral"
"Hyow","Laitu","Zakaria","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","tɬ","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","tʰɬ","consonant","","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","r","consonant","","alveolar","trill","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","tʃ","consonant","","postalveolar","affricate","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","dʒ","consonant","","postalveolar","affricate","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","e̝","vowel","","","","","","monophthong","raised high-mid","front","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","æ","vowel","","","","","","monophthong","near-low","front","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ɘ","vowel","","","","","","monophthong","high-mid","central","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ɤ","vowel","","","","","","monophthong","high-mid","back","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Khumi","Ruma Bazaar, Bangladesh","Peterson","iu","vowel","","","","","","diphthong","","","","short",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","eu","vowel","","","","","","diphthong","","","","short",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ui","vowel","","","","","","diphthong","","","","short",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ai","vowel","","","","","","diphthong","","","","short",""
"Khumi","Ruma Bazaar, Bangladesh","Peterson","ɔi","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","r","consonant","","alveolar","trill","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","tɕ","consonant","","alveolo-palatal","affricate","voiceless","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","dʑ","consonant","","alveolo-palatal","affricate","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Lamkang","Manipur","Thounaojam & Chelliah","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","ə","vowel","","","","","","monophthong","mid","central","unrounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Lamkang","Manipur","Thounaojam & Chelliah","əi","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","əu","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","ai","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","au","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","ui","vowel","","","","","","diphthong","","","","short",""
"Lamkang","Manipur","Thounaojam & Chelliah","oi","vowel","","","","","","diphthong","","","","short",""
"Zophei","Lawngtlang","Lotven","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","tsʰ","consonant","","alveolar","affricate","voiceless","aspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","tɬ","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","tl","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","n̥","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","ɹ̥","consonant","","alveolar","approximant","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","ɹ","consonant","","alveolar","approximant","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Zophei","Lawngtlang","Lotven","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Zophei","Lawngtlang","Lotven","iː","vowel","","","","","","monophthong","high","front","unrounded","long","oral"
"Zophei","Lawngtlang","Lotven","y","vowel","","","","","","monophthong","high","front","rounded","short","oral"
"Zophei","Lawngtlang","Lotven","yː","vowel","","","","","","monophthong","high","front","rounded","long","oral"
"Zophei","Lawngtlang","Lotven","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Zophei","Lawngtlang","Lotven","eː","vowel","","","","","","monophthong","high-mid","front","unrounded","long","oral"
"Zophei","Lawngtlang","Lotven","øː","vowel","","","","","","monophthong","high-mid","front","rounded","long","oral"
"Zophei","Lawngtlang","Lotven","ɨː","vowel","","","","","","monophthong","high","central","unrounded","long","oral"
"Zophei","Lawngtlang","Lotven","ʉː","vowel","","","","","","monophthong","high","central","rounded","long","oral"
"Zophei","Lawngtlang","Lotven","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Zophei","Lawngtlang","Lotven","aː","vowel","","","","","","monophthong","low","central","unrounded","long","oral"
"Zophei","Lawngtlang","Lotven","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Zophei","Lawngtlang","Lotven","uː","vowel","","","","","","monophthong","high","back","rounded","long","oral"
"Zophei","Lawngtlang","Lotven","ui","vowel","","","","","","diphthong","","","","short",""
"Zophei","Lawngtlang","Lotven","au","vowel","","","","","","diphthong","","","","short",""
"Zophei","Lawngtlang","Lotven","io","vowel","","","","","","diphthong","","","","short",""
"Zophei","Lawngtlang","Lotven","ie","vowel","","","","","","diphthong","","","","short",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","tsʰ","consonant","","alveolar","affricate","voiceless","aspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","tl","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","tlʰ","consonant","","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","n̥","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","r̥","consonant","","alveolar","trill","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","r","consonant","","alveolar","trill","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","y","vowel","","","","","","monophthong","high","front","rounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ɨ","vowel","","","","","","monophthong","high","central","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ʉ","vowel","","","","","","monophthong","high","central","rounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ə","vowel","","","","","","monophthong","mid","central","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ɯ","vowel","","","","","","monophthong","high","back","unrounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ie","vowel","","","","","","diphthong","","","","short",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","uo","vowel","","","","","","diphthong","","","","short",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","yə","vowel","","","","","","diphthong","","","","short",""
"Lutuv","Hnaring","Berkson et al., Bohnert et al.","ɯe","vowel","","","","","","diphthong","","","","short",""
"Mara","Sabeu","Arden","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Mara","Sabeu","Arden","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","mʰ","consonant","","bilabial","nasal","voiced","aspirated","","","","","",""
"Mara","Sabeu","Arden","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Mara","Sabeu","Arden","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","nʰ","consonant","","alveolar","nasal","voiced","aspirated","","","","","",""
"Mara","Sabeu","Arden","r","consonant","","alveolar","trill","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","r̥","consonant","","alveolar","trill","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","ɹ̥","consonant","","alveolar","approximant","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","tɕ","consonant","","alveolo-palatal","affricate","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","tɕʰ","consonant","","alveolo-palatal","affricate","voiceless","aspirated","","","","","",""
"Mara","Sabeu","Arden","dʑ","consonant","","alveolo-palatal","affricate","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Mara","Sabeu","Arden","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Mara","Sabeu","Arden","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Mara","Sabeu","Arden","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Mara","Sabeu","Arden","y","vowel","","","","","","monophthong","high","front","rounded","short","oral"
"Mara","Sabeu","Arden","ɨ","vowel","","","","","","monophthong","high","central","unrounded","short","oral"
"Mara","Sabeu","Arden","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Mara","Sabeu","Arden","i̞","vowel","","","","","","monophthong","lowered high","front","unrounded","short","oral"
"Mara","Sabeu","Arden","u̞","vowel","","","","","","monophthong","lowered high","back","rounded","short","oral"
"Mara","Sabeu","Arden","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Mara","Sabeu","Arden","ø","vowel","","","","","","monophthong","high-mid","front","rounded","short","oral"
"Mara","Sabeu","Arden","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Mara","Sabeu","Arden","ɑ","vowel","","","","","","monophthong","low","back","unrounded","short","oral"
"Mara","Sabeu","Arden","ɑ̞","vowel","","","","","","monophthong","lowered low","back","unrounded","short","oral"
"Mara","Sabeu","Arden","eɪ","vowel","","","","","","diphthong","","","","short",""
"Mara","Sabeu","Arden","øɪ","vowel","","","","","","diphthong","","","","short",""
"Mara","Sabeu","Arden","ɐʊ","vowel","","","","","","diphthong","","","","short",""
"Mara","Sabeu","Arden","ɑi","vowel","","","","","","diphthong","","","","short",""
"Matu","","Shintani","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Matu","","Shintani","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Matu","","Shintani","ɓ","consonant","","bilabial","implosive","voiced","unaspirated","","","","","",""
"Matu","","Shintani","v","consonant","","labiodental","fricative","voiced","unaspirated","","","","","",""
"Matu","","Shintani","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Matu","","Shintani","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Matu","","Shintani","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Matu","","Shintani","ɗ","consonant","","alveolar","implosive","voiced","unaspirated","","","","","",""
"Matu","","Shintani","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
