"Language","Dialect","Source","Segment","Type","Notes","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"Asho","","Otsuka","tɕ","consonant","","alveolo-palatal","affricate","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","tɕʰ","consonant","","alveolo-palatal","affricate","voiceless","aspirated","","","","","",""
"Asho","","Otsuka","dʑ","consonant","","alveolo-palatal","affricate","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","ɲ̊","consonant","","palatal","nasal","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","ɲ","consonant","","palatal","nasal","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Asho","","Otsuka","g","consonant","","velar","plosive","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Asho","","Otsuka","ɦ","consonant","","glottal","fricative","voiced","unaspirated","","","","","",""
"Asho","","Otsuka","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Asho","","Otsuka","ɪ","vowel","","","","","","monophthong","near-high","near-front","unrounded","short","oral"
"Asho","","Otsuka","ʏ","vowel","","","","","","monophthong","near-high","near-front","rounded","short","oral"
"Asho","","Otsuka","e","vowel","","","","","","monophthong","high-mid","front","unrounded","short","oral"
"Asho","","Otsuka","ɛ","vowel","","","","","","monophthong","low-mid","front","unrounded","short","oral"
"Asho","","Otsuka","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Asho","","Otsuka","ʊ","vowel","","","","","","monophthong","near-high","near-back","rounded","short","oral"
"Asho","","Otsuka","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Asho","","Otsuka","o","vowel","","","","","","monophthong","high-mid","back","rounded","short","oral"
"Asho","","Otsuka","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Asho","","Otsuka","ɑɪ","vowel","","","","","","diphthong","","","","short",""
"Asho","","Otsuka","ɑʊ","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Daai","Yang","So-Hartmann","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Daai","Yang","So-Hartmann","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","sʰ","consonant","","alveolar","fricative","voiceless","aspirated","","","","","",""
"Daai","Yang","So-Hartmann","ɬ","consonant","","alveolar","lateral fricative","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","n̊","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","kʰ","consonant","","velar","plosive","voiceless","aspirated","","","","","",""
"Daai","Yang","So-Hartmann","x","consonant","","velar","fricative","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","ɣ","consonant","","velar","fricative","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","ʔ","consonant","","glottal","plosive","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","h","consonant","","glottal","fricative","voiceless","unaspirated","","","","","",""
"Daai","Yang","So-Hartmann","i","vowel","","","","","","monophthong","high","front","unrounded","short","oral"
"Daai","Yang","So-Hartmann","iː","vowel","","","","","","monophthong","high","front","unrounded","long","oral"
"Daai","Yang","So-Hartmann","ɛ","vowel","","","","","","monophthong","low-mid","front","unrounded","short","oral"
"Daai","Yang","So-Hartmann","ɛː","vowel","","","","","","monophthong","low-mid","front","unrounded","long","oral"
"Daai","Yang","So-Hartmann","ə","vowel","","","","","","monophthong","mid","central","unrounded","short","oral"
"Daai","Yang","So-Hartmann","əː","vowel","","","","","","monophthong","mid","central","unrounded","long","oral"
"Daai","Yang","So-Hartmann","a","vowel","","","","","","monophthong","low","central","unrounded","short","oral"
"Daai","Yang","So-Hartmann","a:","vowel","","","","","","monophthong","low","central","unrounded","long","oral"
"Daai","Yang","So-Hartmann","ɯ","vowel","","","","","","monophthong","high","back","unrounded","short","oral"
"Daai","Yang","So-Hartmann","ɯː","vowel","","","","","","monophthong","high","back","unrounded","long","oral"
"Daai","Yang","So-Hartmann","u","vowel","","","","","","monophthong","high","back","rounded","short","oral"
"Daai","Yang","So-Hartmann","u:","vowel","","","","","","monophthong","high","back","rounded","long","oral"
"Daai","Yang","So-Hartmann","ɔ","vowel","","","","","","monophthong","low-mid","back","rounded","short","oral"
"Daai","Yang","So-Hartmann","ɔː","vowel","","","","","","monophthong","low-mid","back","rounded","long","oral"
"Daai","Yang","So-Hartmann","ɛi","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","ɛːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","ai","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","aːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","əi","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","əːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","ɔi","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","ɔːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","ɯi","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","ɯːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","ui","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","uːi","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","əɯ","vowel","","","","","","diphthong","","","","short",""
"Daai","Yang","So-Hartmann","aɯ","vowel","","","","","","diphthong","","","","short",""
