"unique_segments","Type","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"eː","vowel","","","","","monophthong","high-mid","front","unrounded","long","oral"
"uː","vowel","","","","","monophthong","high","back","rounded","long","oral"
"aː","vowel","","","","","monophthong","low","central","unrounded","long","oral"
"oi","vowel","","","","","diphthong","","","","short",""
"oːi","vowel","","","","","diphthong","","","","long",""
"iu","vowel","","","","","diphthong","","","","short",""
"eu","vowel","","","","","diphthong","","","","short",""
"eːu","vowel","","","","","diphthong","","","","long",""
"ou","vowel","","","","","diphthong","","","","short",""
"aːu","vowel","","","","","diphthong","","","","long",""
"ia:","vowel","","","","","diphthong","","","","long",""
"uaː","vowel","","","","","diphthong","","","","long",""
"uai","vowel","","","","","triphthong","","","","",""
"iau","vowel","","","","","triphthong","","","","",""
"r","consonant","alveolar","trill","voiced","unaspirated","","","","","",""
"c","consonant","palatal","plosive","voiceless","unaspirated","","","","","",""
"ɟ","consonant","palatal","plosive","voiced","unaspirated","","","","","",""
"ʃ","consonant","postalveolar","fricative","voiceless","unaspirated","","","","","",""
"j̊","consonant","palatal","approximant","voiceless","unaspirated","","","","","",""
"ɘ","vowel","","","","","monophthong","high-mid","central","unrounded","short","oral"
"æ","vowel","","","","","monophthong","near-low","front","unrounded","short","oral"
"tʰɬ","consonant","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"tʃ","consonant","postalveolar","affricate","voiceless","unaspirated","","","","","",""
"dʒ","consonant","postalveolar","affricate","voiced","unaspirated","","","","","",""
"e̝","vowel","","","","","monophthong","raised high-mid","front","unrounded","short","oral"
"əu","vowel","","","","","diphthong","","","","short",""
"ɹ̥","consonant","alveolar","approximant","voiceless","unaspirated","","","","","",""
"y","vowel","","","","","monophthong","high","front","rounded","short","oral"
"yː","vowel","","","","","monophthong","high","front","rounded","long","oral"
"øː","vowel","","","","","monophthong","high-mid","front","rounded","long","oral"
"ɨː","vowel","","","","","monophthong","high","central","unrounded","long","oral"
"ʉː","vowel","","","","","monophthong","high","central","rounded","long","oral"
"io","vowel","","","","","diphthong","","","","short",""
"ie","vowel","","","","","diphthong","","","","short",""
"tlʰ","consonant","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"ɨ","vowel","","","","","monophthong","high","central","unrounded","short","oral"
"uo","vowel","","","","","diphthong","","","","short",""
"yə","vowel","","","","","diphthong","","","","short",""
"ɯe","vowel","","","","","diphthong","","","","short",""
"mʰ","consonant","bilabial","nasal","voiced","aspirated","","","","","",""
"nʰ","consonant","alveolar","nasal","voiced","aspirated","","","","","",""
"i̞","vowel","","","","","monophthong","lowered high","front","unrounded","short","oral"
"u̞","vowel","","","","","monophthong","lowered high","back","rounded","short","oral"
"ø","vowel","","","","","monophthong","high-mid","front","rounded","short","oral"
"ɑ","vowel","","","","","monophthong","low","back","unrounded","short","oral"
"ɑ̞","vowel","","","","","monophthong","lowered low","back","unrounded","short","oral"
"eɪ","vowel","","","","","diphthong","","","","short",""
"øɪ","vowel","","","","","diphthong","","","","short",""
"ɐʊ","vowel","","","","","diphthong","","","","short",""
"ɑi","vowel","","","","","diphthong","","","","short",""
"ɓ","consonant","bilabial","implosive","voiced","unaspirated","","","","","",""
"oː","vowel","","","","","monophthong","high-mid","back","rounded","long","oral"
"ʑ","consonant","alveolo-palatal","fricative","voiced","unaspirated","","","","","",""
"ç","consonant","palatal","fricative","voiceless","unaspirated","","","","","",""
"ʝ","consonant","palatal","fricative","voiced","unaspirated","","","","","",""
"ʁ","consonant","uvular","fricative","voiced","unaspirated","","","","","",""
"kx","consonant","velar","affricate","voiceless","unaspirated","","","","","",""
"œi","vowel","","","","","diphthong","","","","short",""
"eːi","vowel","","","","","diphthong","","","","long",""
"iːu","vowel","","","","","diphthong","","","","long",""
"iai","vowel","","","","","triphthong","","","","",""
"uau","vowel","","","","","triphthong","","","","",""
"iɑ","vowel","","","","","diphthong","","","","short",""
"uɑ","vowel","","","","","diphthong","","","","short",""
"ɛu","vowel","","","","","diphthong","","","","short",""
"ɑu","vowel","","","","","diphthong","","","","short",""
"ɑːi","vowel","","","","","diphthong","","","","long",""
"ɛːu","vowel","","","","","diphthong","","","","long",""
"ɑːu","vowel","","","","","diphthong","","","","long",""
"iɑi","vowel","","","","","triphthong","","","","",""
"uɑi","vowel","","","","","triphthong","","","","",""
"iɑu","vowel","","","","","triphthong","","","","",""
"uɑu","vowel","","","","","triphthong","","","","",""
"χ","consonant","uvular","fricative","voiceless","unaspirated","","","","","",""
"ĩ","vowel","","","","","monophthong","high","front","unrounded","short","nasalized"
"ỹ","vowel","","","","","monophthong","high","front","rounded","short","nasalized"
"ẽ","vowel","","","","","monophthong","high-mid","front","unrounded","short","nasalized"
"ø̃","vowel","","","","","monophthong","high-mid","front","rounded","short","nasalized"
"ɛ̃","vowel","","","","","monophthong","low-mid","front","unrounded","short","nasalized"
"ã","vowel","","","","","monophthong","low","central","unrounded","short","nasalized"
"ɯ̃","vowel","","","","","monophthong","high","back","unrounded","short","nasalized"
"ũ","vowel","","","","","monophthong","high","back","rounded","short","nasalized"
